Epoch,Step,Total,CE,feat
15,110,5.90625,5.90625,
16,0,5.8125,5.8125,
16,10,5.90625,5.90625,
16,20,5.90625,5.90625,
16,30,5.8125,5.8125,
16,40,5.90625,5.90625,
16,50,5.9375,5.9375,
16,60,5.8125,5.8125,
16,70,5.71875,5.71875,
16,80,5.9375,5.9375,
16,90,5.875,5.875,
16,100,5.875,5.875,
16,110,5.90625,5.90625,
17,0,5.8125,5.8125,
17,10,5.90625,5.90625,
17,20,5.90625,5.90625,
17,30,5.8125,5.8125,
17,40,5.90625,5.90625,
17,50,5.9375,5.9375,
17,60,5.8125,5.8125,
17,70,5.71875,5.71875,
17,80,5.9375,5.9375,
17,90,5.875,5.875,
17,100,5.875,5.875,
17,110,5.90625,5.90625,
18,0,5.8125,5.8125,
18,10,5.875,5.875,
18,20,5.90625,5.90625,
18,30,5.8125,5.8125,
18,40,5.90625,5.90625,
18,50,5.9375,5.9375,
18,60,5.78125,5.78125,
18,70,5.71875,5.71875,
18,80,5.90625,5.90625,
18,90,5.875,5.875,
18,100,5.84375,5.84375,
18,110,5.90625,5.90625,
19,0,5.8125,5.8125,
19,10,5.875,5.875,
19,20,5.90625,5.90625,
19,30,5.8125,5.8125,
19,40,5.875,5.875,
19,50,5.90625,5.90625,
19,60,5.78125,5.78125,
19,70,5.71875,5.71875,
19,80,5.90625,5.90625,
19,90,5.875,5.875,
19,100,5.84375,5.84375,
19,110,5.875,5.875,
20,0,5.8125,5.8125,
20,10,5.875,5.875,
20,20,5.875,5.875,
20,30,5.78125,5.78125,
20,40,5.875,5.875,
20,50,5.90625,5.90625,
20,60,5.78125,5.78125,
20,70,5.71875,5.71875,
20,80,5.90625,5.90625,
20,90,5.84375,5.84375,
20,100,5.84375,5.84375,
20,110,5.875,5.875,
21,0,5.8125,5.8125,
21,10,5.875,5.875,
21,20,5.875,5.875,
21,30,5.78125,5.78125,
21,40,5.875,5.875,
21,50,5.90625,5.90625,
21,60,5.78125,5.78125,
21,70,5.6875,5.6875,
21,80,5.90625,5.90625,
21,90,5.84375,5.84375,
21,100,5.84375,5.84375,
21,110,5.875,5.875,
22,0,5.8125,5.8125,
22,10,5.875,5.875,
22,20,5.875,5.875,
22,30,5.78125,5.78125,
22,40,5.875,5.875,
22,50,5.90625,5.90625,
22,60,5.78125,5.78125,
22,70,5.6875,5.6875,
22,80,5.90625,5.90625,
22,90,5.84375,5.84375,
22,100,5.84375,5.84375,
22,110,5.875,5.875,
23,0,5.78125,5.78125,
23,10,5.84375,5.84375,
23,20,5.875,5.875,
23,30,5.78125,5.78125,
23,40,5.875,5.875,
23,50,5.90625,5.90625,
23,60,5.75,5.75,
23,70,5.6875,5.6875,
23,80,5.875,5.875,
23,90,5.84375,5.84375,
23,100,5.84375,5.84375,
23,110,5.875,5.875,
24,0,5.78125,5.78125,
24,10,5.84375,5.84375,
24,20,5.875,5.875,
24,30,5.78125,5.78125,
24,40,5.84375,5.84375,
24,50,5.90625,5.90625,
24,60,5.75,5.75,
24,70,5.6875,5.6875,
24,80,5.875,5.875,
24,90,5.8125,5.8125,
24,100,5.8125,5.8125,
24,110,5.875,5.875,
25,0,5.78125,5.78125,
25,10,5.84375,5.84375,
25,20,5.875,5.875,
25,30,5.78125,5.78125,
25,40,5.84375,5.84375,
25,50,5.875,5.875,
25,60,5.75,5.75,
25,70,5.6875,5.6875,
25,80,5.875,5.875,
25,90,5.8125,5.8125,
25,100,5.8125,5.8125,
25,110,5.84375,5.84375,
26,0,5.78125,5.78125,
26,10,5.84375,5.84375,
26,20,5.84375,5.84375,
26,30,5.75,5.75,
26,40,5.84375,5.84375,
26,50,5.875,5.875,
26,60,5.75,5.75,
26,70,5.6875,5.6875,
26,80,5.875,5.875,
26,90,5.8125,5.8125,
26,100,5.8125,5.8125,
26,110,5.84375,5.84375,
27,0,5.78125,5.78125,
27,10,5.84375,5.84375,
27,20,5.84375,5.84375,
27,30,5.75,5.75,
27,40,5.84375,5.84375,
27,50,5.875,5.875,
27,60,5.75,5.75,
27,70,5.6875,5.6875,
27,80,5.875,5.875,
27,90,5.8125,5.8125,
27,100,5.8125,5.8125,
27,110,5.84375,5.84375,
28,0,5.78125,5.78125,
28,10,5.84375,5.84375,
28,20,5.84375,5.84375,
28,30,5.75,5.75,
28,40,5.84375,5.84375,
28,50,5.875,5.875,
28,60,5.75,5.75,
28,70,5.65625,5.65625,
28,80,5.875,5.875,
28,90,5.8125,5.8125,
28,100,5.8125,5.8125,
28,110,5.84375,5.84375,
29,0,5.78125,5.78125,
29,10,5.8125,5.8125,
29,20,5.84375,5.84375,
29,30,5.75,5.75,
29,40,5.8125,5.8125,
29,50,5.875,5.875,
29,60,5.75,5.75,
29,70,5.65625,5.65625,
29,80,5.875,5.875,
29,90,5.78125,5.78125,
29,100,5.8125,5.8125,
29,110,5.84375,5.84375,
30,0,5.75,5.75,
30,10,5.8125,5.8125,
30,20,5.84375,5.84375,
30,30,5.75,5.75,
30,40,5.8125,5.8125,
30,50,5.84375,5.84375,
30,60,5.75,5.75,
30,70,5.65625,5.65625,
30,80,5.875,5.875,
30,90,5.78125,5.78125,
30,100,5.8125,5.8125,
30,110,5.8125,5.8125,
31,0,5.75,5.75,
31,10,5.8125,5.8125,
31,20,5.84375,5.84375,
31,30,5.75,5.75,
31,40,5.8125,5.8125,
31,50,5.84375,5.84375,
31,60,5.71875,5.71875,
31,70,5.65625,5.65625,
31,80,5.84375,5.84375,
31,90,5.78125,5.78125,
31,100,5.78125,5.78125,
31,110,5.8125,5.8125,
32,0,5.75,5.75,
32,10,5.8125,5.8125,
32,20,5.84375,5.84375,
32,30,5.75,5.75,
32,40,5.8125,5.8125,
32,50,5.84375,5.84375,
32,60,5.71875,5.71875,
32,70,5.65625,5.65625,
32,80,5.84375,5.84375,
32,90,5.78125,5.78125,
32,100,5.78125,5.78125,
32,110,5.8125,5.8125,
33,0,5.75,5.75,
33,10,5.8125,5.8125,
33,20,5.8125,5.8125,
33,30,5.75,5.75,
33,40,5.8125,5.8125,
33,50,5.84375,5.84375,
33,60,5.71875,5.71875,
33,70,5.65625,5.65625,
33,80,5.84375,5.84375,
33,90,5.78125,5.78125,
33,100,5.78125,5.78125,
33,110,5.8125,5.8125,
34,0,5.75,5.75,
34,10,5.8125,5.8125,
34,20,5.8125,5.8125,
34,30,5.75,5.75,
34,40,5.8125,5.8125,
34,50,5.84375,5.84375,
34,60,5.71875,5.71875,
34,70,5.65625,5.65625,
34,80,5.84375,5.84375,
34,90,5.78125,5.78125,
34,100,5.78125,5.78125,
34,110,5.8125,5.8125,
35,0,5.75,5.75,
35,10,5.78125,5.78125,
35,20,5.8125,5.8125,
35,30,5.75,5.75,
35,40,5.78125,5.78125,
35,50,5.84375,5.84375,
35,60,5.71875,5.71875,
35,70,5.65625,5.65625,
35,80,5.84375,5.84375,
35,90,5.78125,5.78125,
35,100,5.78125,5.78125,
35,110,5.8125,5.8125,
36,0,5.75,5.75,
36,10,5.78125,5.78125,
36,20,5.8125,5.8125,
36,30,5.71875,5.71875,
36,40,5.78125,5.78125,
36,50,5.84375,5.84375,
36,60,5.71875,5.71875,
36,70,5.65625,5.65625,
36,80,5.84375,5.84375,
36,90,5.78125,5.78125,
36,100,5.78125,5.78125,
36,110,5.8125,5.8125,
37,0,5.75,5.75,
37,10,5.78125,5.78125,
37,20,5.8125,5.8125,
37,30,5.71875,5.71875,
37,40,5.78125,5.78125,
37,50,5.84375,5.84375,
37,60,5.71875,5.71875,
37,70,5.65625,5.65625,
37,80,5.84375,5.84375,
37,90,5.75,5.75,
37,100,5.78125,5.78125,
37,110,5.8125,5.8125,
38,0,5.75,5.75,
38,10,5.78125,5.78125,
38,20,5.8125,5.8125,
38,30,5.71875,5.71875,
38,40,5.78125,5.78125,
38,50,5.84375,5.84375,
38,60,5.71875,5.71875,
38,70,5.65625,5.65625,
38,80,5.8125,5.8125,
38,90,5.75,5.75,
38,100,5.78125,5.78125,
38,110,5.8125,5.8125,
39,0,5.75,5.75,
39,10,5.78125,5.78125,
39,20,5.8125,5.8125,
39,30,5.71875,5.71875,
39,40,5.78125,5.78125,
39,50,5.84375,5.84375,
39,60,5.71875,5.71875,
39,70,5.625,5.625,
39,80,5.8125,5.8125,
39,90,5.75,5.75,
39,100,5.78125,5.78125,
39,110,5.78125,5.78125,
40,0,5.71875,5.71875,
40,10,5.78125,5.78125,
40,20,5.8125,5.8125,
40,30,5.71875,5.71875,
40,40,5.78125,5.78125,
40,50,5.8125,5.8125,
40,60,5.71875,5.71875,
40,70,5.625,5.625,
40,80,5.8125,5.8125,
40,90,5.75,5.75,
40,100,5.78125,5.78125,
40,110,5.78125,5.78125,
41,0,5.71875,5.71875,
41,10,5.78125,5.78125,
41,20,5.8125,5.8125,
41,30,5.71875,5.71875,
41,40,5.78125,5.78125,
41,50,5.8125,5.8125,
41,60,5.71875,5.71875,
41,70,5.625,5.625,
41,80,5.8125,5.8125,
41,90,5.75,5.75,
41,100,5.78125,5.78125,
41,110,5.78125,5.78125,
42,0,5.71875,5.71875,
42,10,5.78125,5.78125,
42,20,5.8125,5.8125,
42,30,5.71875,5.71875,
42,40,5.78125,5.78125,
42,50,5.8125,5.8125,
42,60,5.71875,5.71875,
42,70,5.625,5.625,
42,80,5.8125,5.8125,
42,90,5.75,5.75,
42,100,5.78125,5.78125,
42,110,5.78125,5.78125,
43,0,5.71875,5.71875,
43,10,5.78125,5.78125,
43,20,5.78125,5.78125,
43,30,5.71875,5.71875,
43,40,5.78125,5.78125,
43,50,5.8125,5.8125,
43,60,5.6875,5.6875,
43,70,5.625,5.625,
43,80,5.8125,5.8125,
43,90,5.75,5.75,
43,100,5.75,5.75,
43,110,5.78125,5.78125,
44,0,5.71875,5.71875,
44,10,5.78125,5.78125,
44,20,5.78125,5.78125,
44,30,5.71875,5.71875,
44,40,5.78125,5.78125,
44,50,5.8125,5.8125,
44,60,5.6875,5.6875,
44,70,5.625,5.625,
44,80,5.8125,5.8125,
44,90,5.75,5.75,
44,100,5.75,5.75,
44,110,5.78125,5.78125,
45,0,5.71875,5.71875,
45,10,5.78125,5.78125,
45,20,5.78125,5.78125,
45,30,5.71875,5.71875,
45,40,5.78125,5.78125,
45,50,5.8125,5.8125,
45,60,5.6875,5.6875,
45,70,5.625,5.625,
45,80,5.8125,5.8125,
45,90,5.75,5.75,
45,100,5.75,5.75,
45,110,5.78125,5.78125,
46,0,5.71875,5.71875,
46,10,5.78125,5.78125,
46,20,5.78125,5.78125,
46,30,5.71875,5.71875,
46,40,5.78125,5.78125,
46,50,5.8125,5.8125,
46,60,5.6875,5.6875,
46,70,5.625,5.625,
46,80,5.8125,5.8125,
46,90,5.75,5.75,
46,100,5.75,5.75,
46,110,5.78125,5.78125,
47,0,5.71875,5.71875,
47,10,5.78125,5.78125,
47,20,5.78125,5.78125,
47,30,5.71875,5.71875,
47,40,5.78125,5.78125,
47,50,5.8125,5.8125,
47,60,5.6875,5.6875,
47,70,5.625,5.625,
47,80,5.8125,5.8125,
47,90,5.75,5.75,
47,100,5.75,5.75,
47,110,5.78125,5.78125,
48,0,5.71875,5.71875,
48,10,5.78125,5.78125,
48,20,5.78125,5.78125,
48,30,5.71875,5.71875,
48,40,5.78125,5.78125,
48,50,5.8125,5.8125,
48,60,5.6875,5.6875,
48,70,5.625,5.625,
48,80,5.8125,5.8125,
48,90,5.75,5.75,
48,100,5.75,5.75,
48,110,5.78125,5.78125,
49,0,5.71875,5.71875,
49,10,5.78125,5.78125,
49,20,5.78125,5.78125,
49,30,5.71875,5.71875,
49,40,5.78125,5.78125,
49,50,5.8125,5.8125,
49,60,5.6875,5.6875,
49,70,5.625,5.625,
49,80,5.8125,5.8125,
49,90,5.75,5.75,
49,100,5.75,5.75,
49,110,5.78125,5.78125,
