Epoch,Step,Total,CE,feat
1,0,6.625,6.625,
1,10,8.125,8.125,
1,20,6.46875,6.46875,
2,0,6.65625,6.65625,
2,10,6.4375,6.4375,
2,20,6.46875,6.46875,
3,0,6.4375,6.4375,
3,10,6.40625,6.40625,
3,20,6.46875,6.46875,
4,0,6.46875,6.46875,
4,10,6.40625,6.40625,
4,20,6.4375,6.4375,
5,0,6.4375,6.4375,
5,10,6.375,6.375,
5,20,6.40625,6.40625,
6,0,6.4375,6.4375,
6,10,6.375,6.375,
6,20,6.40625,6.40625,
7,0,6.375,6.375,
7,10,6.34375,6.34375,
7,20,6.3125,6.3125,
8,0,6.28125,6.28125,
8,10,6.28125,6.28125,
8,20,6.25,6.25,
9,0,6.25,6.25,
9,10,6.21875,6.21875,
9,20,6.21875,6.21875,
10,0,6.15625,6.15625,
10,10,6.15625,6.15625,
10,20,6.15625,6.15625,
11,0,6.125,6.125,
11,10,6.125,6.125,
11,20,6.0625,6.0625,
12,0,6.03125,6.03125,
12,10,6.0,6.0,
12,20,5.96875,5.96875,
13,0,5.96875,5.96875,
13,10,5.90625,5.90625,
13,20,5.875,5.875,
14,0,5.84375,5.84375,
14,10,5.84375,5.84375,
14,20,5.78125,5.78125,
15,0,5.78125,5.78125,
15,10,5.75,5.75,
15,20,5.71875,5.71875,
16,0,5.71875,5.71875,
16,10,5.625,5.625,
16,20,5.625,5.625,
17,0,5.6875,5.6875,
17,10,5.59375,5.59375,
17,20,5.53125,5.53125,
18,0,5.53125,5.53125,
18,10,5.46875,5.46875,
18,20,5.4375,5.4375,
19,0,5.4375,5.4375,
19,10,5.375,5.375,
19,20,5.375,5.375,
20,0,5.34375,5.34375,
20,10,5.25,5.25,
20,20,5.25,5.25,
21,0,5.25,5.25,
21,10,5.15625,5.15625,
21,20,5.125,5.125,
22,0,5.15625,5.15625,
22,10,5.125,5.125,
22,20,5.03125,5.03125,
23,0,5.03125,5.03125,
23,10,5.03125,5.03125,
23,20,4.9375,4.9375,
24,0,4.9375,4.9375,
24,10,4.96875,4.96875,
24,20,4.84375,4.84375,
25,0,4.875,4.875,
25,10,4.84375,4.84375,
25,20,4.8125,4.8125,
26,0,4.75,4.75,
26,10,4.75,4.75,
26,20,4.6875,4.6875,
27,0,4.6875,4.6875,
27,10,4.71875,4.71875,
27,20,4.59375,4.59375,
