epoch,train_all,train_many,train_median,train_low,val_all,val_many,val_median,val_low,val_fscore
1,0.009137834821428572,0.005619516359305396,0.0,0.006944444444444444,0.0068359375,0.017453294001966567,0.0,0.0,0.0009382022701908992
2,0.027692522321428572,0.018555836704018922,0.0013301435406698565,0.0,0.00732421875,0.01573254670599803,0.001176470588235294,0.0,0.0016411382268989817
3,0.032993861607142856,0.026813878837091017,0.0016941070625281153,0.0,0.0126953125,0.028416912487708945,0.005294117647058823,0.0,0.003462380609128435
4,0.037318638392857144,0.03157276624090421,0.00424887393308446,0.0,0.00732421875,0.018928220255653883,0.004313725490196078,0.0,0.0024369583479716132
5,0.04115513392857143,0.03775470436868527,0.006492893071840439,0.0,0.013671875,0.02856440511307768,0.007058823529411764,0.0,0.004039298997352085
6,0.05126953125,0.04704596710319725,0.007817591764960186,0.0,0.025390625,0.069960668633235,0.006470588235294118,0.0,0.010710999976436052
7,0.05210658482142857,0.04928398242644844,0.00949608286450392,0.0,0.017578125,0.04213372664700098,0.00803921568627451,0.010683760683760684,0.007753628208854703
8,0.06277901785714286,0.060981457763510445,0.012179124968598652,0.0,0.0205078125,0.04631268436578171,0.008117647058823528,0.0,0.007241379948216757
9,0.07149832589285714,0.07079063292635067,0.0120315444789129,0.0,0.0400390625,0.09454277286135693,0.0069411764705882345,0.0,0.01520098366801459
10,0.07484654017857142,0.07645975812808743,0.012982719035350613,0.0,0.02685546875,0.054768928220255655,0.013764705882352941,0.0017094017094017094,0.011751484905060892
11,0.07477678571428571,0.07652911359369097,0.014975048343469395,0.0,0.02001953125,0.0359882005899705,0.009019607843137253,0.008547008547008548,0.008512511056112367
12,0.08112444196428571,0.08236636575210891,0.02106862435809804,0.0026041666666666665,0.03271484375,0.06971484759095378,0.016941176470588234,0.0,0.014278647288911409
13,0.09102957589285714,0.09120213589584199,0.026322204970811783,0.0026041666666666665,0.04345703125,0.09842674532940018,0.018117647058823527,0.0,0.02003612090367184
14,0.10037667410714286,0.10395378889513558,0.033405726712228266,0.0026041666666666665,0.05615234375,0.12133726647000984,0.022431372549019602,0.0,0.027462819377905713
15,0.10037667410714286,0.10082532131316412,0.0306144974736306,0.0026041666666666665,0.05078125,0.10339233038348082,0.018509803921568625,0.0,0.024710196119929948
16,0.10435267857142858,0.10928760647248915,0.033319517599703356,0.0026041666666666665,0.05419921875,0.11356932153392331,0.01956862745098039,0.0,0.029193599261598834
17,0.11118861607142858,0.11456404828463165,0.040858053023687696,0.0026041666666666665,0.05712890625,0.12659783677482792,0.024941176470588234,0.0,0.03432246596910103
18,0.11774553571428571,0.12088940595320471,0.04300865010462533,0.005208333333333333,0.05908203125,0.13254670599803342,0.024078431372549017,0.0,0.03259374449092207
19,0.12486049107142858,0.13130023311140687,0.04743586788168832,0.005208333333333333,0.05908203125,0.1261061946902655,0.029098039215686277,0.0,0.035001448618823226
20,0.12632533482142858,0.1304618217355082,0.05159667405178241,0.005208333333333333,0.0576171875,0.10570304818092427,0.033058823529411765,0.0,0.030969203088082393
21,0.13267299107142858,0.13772454008821627,0.05315361917064703,0.0026041666666666665,0.0390625,0.0772369714847591,0.023215686274509807,0.0,0.02650763190583085
22,0.13804408482142858,0.14228646244684412,0.056740611126060034,0.008680555555555554,0.05908203125,0.11135693215339233,0.03466666666666667,0.008547008547008548,0.03383893699450051
23,0.14202008928571427,0.1478215104616806,0.056648971771262796,0.0078125,0.0517578125,0.09247787610619468,0.03356862745098039,0.0,0.030679109694035766
24,0.13804408482142858,0.14437602836724933,0.05522624915504172,0.008680555555555554,0.06787109375,0.12581120943952803,0.042980392156862744,0.0,0.04249727793069794
25,0.14955357142857142,0.15782289138735817,0.061849077479108436,0.0026041666666666665,0.06298828125,0.12684365781710916,0.032039215686274505,0.0,0.040554344941335196
26,0.16001674107142858,0.16535513343439753,0.07009070547615438,0.014756944444444442,0.06640625,0.1275811209439528,0.03494117647058823,0.0,0.04037632277465769
27,0.16301618303571427,0.1689800438126357,0.06873055393179231,0.013888888888888888,0.0869140625,0.1623402163225172,0.05411764705882353,0.0,0.05216695463085226
28,0.17054966517857142,0.17666035442398023,0.07577563750319168,0.011284722222222222,0.08056640625,0.14842674532940017,0.0463921568627451,0.0,0.051085671143683585
29,0.17508370535714285,0.18359346312596644,0.07715287808167065,0.005208333333333333,0.07958984375,0.15943952802359881,0.04580392156862745,0.0,0.04891743386190264
30,0.17940848214285715,0.18636834407964023,0.08059920488867857,0.013888888888888888,0.08642578125,0.17128810226155358,0.046941176470588236,0.0,0.05724690927112219
31,0.18805803571428573,0.19800414349839165,0.08245578570036774,0.011284722222222222,0.0908203125,0.18446411012782693,0.0467843137254902,0.002136752136752137,0.056089632622683225
32,0.19321986607142858,0.20233157106469143,0.08960887237977021,0.013888888888888888,0.08203125,0.16701081612586036,0.04411764705882353,0.0,0.050655888774349074
33,0.19440569196428573,0.20429531666527243,0.08452081131802494,0.013888888888888888,0.0927734375,0.19410029498525072,0.04972549019607843,0.0,0.05837914731588511
34,0.20152064732142858,0.21063950415357155,0.09269631331860434,0.011284722222222222,0.09423828125,0.19124877089478862,0.0492156862745098,0.0,0.05802750537355275
35,0.20703125,0.2158573829734022,0.09252205946787989,0.008680555555555554,0.09326171875,0.17738446411012782,0.05372549019607842,0.0,0.05919470522297436
36,0.21547154017857142,0.22411392894616003,0.09782902907206315,0.022569444444444444,0.09326171875,0.18874139626352013,0.05152941176470588,0.0,0.06044674009025686
37,0.22195870535714285,0.22879978630856024,0.1053167889901636,0.029513888888888885,0.0947265625,0.19414945919370696,0.05286274509803922,0.0,0.061373536946074246
38,0.22739955357142858,0.23600569355614884,0.1033725265102974,0.021701388888888885,0.0859375,0.1863323500491642,0.045607843137254904,0.0,0.05793106253064147
39,0.22691127232142858,0.23822377451443633,0.1030837121255078,0.02690972222222222,0.09130859375,0.18436578171091444,0.04894117647058823,0.0,0.05943491844783991
40,0.22942243303571427,0.24098219041831523,0.10153485455033444,0.02517361111111111,0.09423828125,0.18726647000983285,0.04725490196078431,0.002136752136752137,0.05885541170341003
41,0.23653738839285715,0.2461079332984184,0.11267213831919713,0.01736111111111111,0.10107421875,0.20737463126843658,0.051176470588235295,0.0,0.06547600366985215
42,0.24448939732142858,0.2559452887702538,0.11316357172239523,0.021701388888888885,0.11083984375,0.2198623402163225,0.05654901960784314,0.0028490028490028487,0.07459075874319428
43,0.24958147321428573,0.2612571634673363,0.11990954418818195,0.016493055555555556,0.09130859375,0.1857423795476893,0.050509803921568626,0.002136752136752137,0.06226548783845659
44,0.25418526785714285,0.266173886891412,0.12130791860358422,0.016493055555555556,0.1044921875,0.21017699115044247,0.05225490196078431,0.0,0.0685593831191988
45,0.2549525669642857,0.26338628971180966,0.12093802946279725,0.010416666666666666,0.111328125,0.2077187807276303,0.06133333333333332,0.0,0.07132784366961752
46,0.259765625,0.26893142671417036,0.11992666449477596,0.032986111111111105,0.1064453125,0.19164208456243856,0.06172549019607842,0.0,0.06766383708607399
47,0.26541573660714285,0.2760732752493037,0.12097009062488939,0.03645833333333333,0.1181640625,0.22187807276302848,0.0656078431372549,0.0,0.07619316225926101
48,0.27113560267857145,0.28261239946829275,0.12889900381696048,0.01736111111111111,0.11572265625,0.21588003933136676,0.0611764705882353,0.004273504273504274,0.07241709627328294
49,0.2779017857142857,0.2911845518947466,0.12416848201677923,0.03211805555555555,0.12109375,0.22364798426745328,0.07301960784313725,0.002136752136752137,0.07968862591950543
50,0.28466796875,0.29572925603377515,0.12861126695801617,0.02517361111111111,0.103515625,0.20624385447394294,0.056666666666666664,0.0,0.06859976467860725
51,0.2861328125,0.2955695919342426,0.13282019167622883,0.04079861111111111,0.1083984375,0.2085054080629302,0.06694117647058823,0.0,0.07262493958511179
52,0.291015625,0.30263455373036313,0.13108671050311915,0.030381944444444444,0.107421875,0.20998033431661747,0.06,0.0,0.07326543089973052
53,0.29415457589285715,0.30284057365937855,0.1318886094985166,0.030381944444444444,0.126953125,0.24636184857423796,0.06764705882352941,0.008547008547008548,0.08731045685539764
54,0.296875,0.304818943602083,0.1306940342079661,0.04079861111111111,0.11767578125,0.2261553588987217,0.06762745098039216,0.008547008547008548,0.07790167479080984
55,0.3003627232142857,0.3088192487828271,0.13066833940053754,0.046875,0.1064453125,0.20924287118977386,0.057372549019607845,0.002136752136752137,0.07091661953995854
56,0.30336216517857145,0.31020676440257533,0.13290379280162562,0.020833333333333332,0.11669921875,0.21760078662733529,0.06549019607843137,0.002136752136752137,0.08051347226539428
57,0.30015345982142855,0.30869358385408013,0.1311934420928229,0.012152777777777776,0.12060546875,0.23062930186823993,0.07035294117647059,0.0,0.07581506824192472
58,0.30684988839285715,0.3151239102997299,0.1345723514531564,0.031249999999999997,0.12255859375,0.23647984267453295,0.07384313725490196,0.008547008547008548,0.07953636276004698
59,0.31368582589285715,0.3209819074417037,0.14221079488107352,0.03906249999999999,0.12646484375,0.24041297935103245,0.07023529411764705,0.008547008547008548,0.08254868706462554
60,0.3184291294642857,0.3272108761434056,0.14044159366605186,0.03819444444444444,0.1259765625,0.23942969518190754,0.06833333333333333,0.008547008547008548,0.08624233052193725
61,0.32114955357142855,0.32982198103702937,0.14366988206152292,0.040798611111111105,0.12939453125,0.2414945919370698,0.07162745098039217,0.008547008547008548,0.08499290500872779
62,0.3262416294642857,0.33510722983069513,0.1432803668639582,0.044270833333333336,0.130859375,0.24862340216322518,0.07929411764705883,0.010683760683760684,0.08311927515749172
63,0.3256138392857143,0.3341429652998269,0.14187395748386458,0.041666666666666664,0.138671875,0.2659783677482792,0.08019607843137254,0.0,0.0932772169518221
64,0.32847377232142855,0.3363175902961906,0.14178173305882286,0.03298611111111111,0.13134765625,0.25108161258603734,0.07690196078431372,0.0,0.0857138987052378
65,0.3334263392857143,0.34135339937119147,0.14670850013419673,0.04253472222222222,0.134765625,0.25550639134709935,0.07650980392156863,0.0,0.08911064078286181
66,0.33328683035714285,0.34309464614152957,0.14329327964776883,0.030381944444444437,0.126953125,0.243952802359882,0.07560784313725488,0.0,0.08564074545196004
67,0.33851841517857145,0.34834497768537986,0.14476598238362945,0.028645833333333332,0.1376953125,0.2608652900688299,0.08596078431372549,0.0,0.09081022492467772
68,0.34200613839285715,0.35263901277824994,0.1452460841532049,0.019965277777777776,0.1298828125,0.25486725663716814,0.07741176470588235,0.0,0.08451793179007557
69,0.34598214285714285,0.3572482162790096,0.14662034851972935,0.028645833333333332,0.13427734375,0.2644542772861357,0.0774313725490196,0.002136752136752137,0.0865206081651039
70,0.34716796875,0.3566050062134316,0.14867906465739283,0.03211805555555555,0.13330078125,0.2570304818092429,0.07511764705882353,0.002136752136752137,0.08470530261553579
71,0.34988839285714285,0.35902718880333445,0.14505334706573098,0.03472222222222222,0.14013671875,0.2678466076696165,0.08143137254901961,0.002136752136752137,0.09175044926644074
72,0.35226004464285715,0.36133803872374864,0.1491304775375983,0.030381944444444444,0.1474609375,0.2757128810226155,0.0862156862745098,0.0,0.09310369326555071
73,0.3558872767857143,0.36387100498959274,0.1511696810241702,0.02690972222222222,0.1474609375,0.2750737463126844,0.0876078431372549,0.002136752136752137,0.09488598912463395
74,0.3613978794642857,0.3708748209669208,0.15177272297705735,0.02690972222222222,0.1474609375,0.27384464110127826,0.08894117647058823,0.002136752136752137,0.09638296537030713
75,0.3609095982142857,0.37154164001048195,0.15409076956754975,0.02690972222222222,0.1455078125,0.27394296951819075,0.08788235294117645,0.002136752136752137,0.09354866886512456
76,0.36307198660714285,0.37270771745600495,0.15343500926318263,0.030381944444444444,0.14794921875,0.27502458210422814,0.08639215686274511,0.002136752136752137,0.09196168159326054
77,0.36181640625,0.3723782145526199,0.15162721179749045,0.030381944444444444,0.14794921875,0.27738446411012785,0.08619607843137254,0.010683760683760684,0.09251183144095572
78,0.3623744419642857,0.37305969316858817,0.15276847524680343,0.030381944444444444,0.146484375,0.2799410029498525,0.0812156862745098,0.011396011396011395,0.09263810762204237
79,0.36363002232142855,0.37266866466210685,0.15641446840053647,0.030381944444444444,0.1455078125,0.27025565388397244,0.08768627450980392,0.008547008547008548,0.09168424317340726
80,0.3633510044642857,0.3727480572177316,0.15581701322413397,0.030381944444444444,0.14794921875,0.26632251720747296,0.09278431372549019,0.002136752136752137,0.09313503256043391
81,0.36502511160714285,0.3735927565311499,0.15707598610539789,0.030381944444444444,0.14892578125,0.2727138643067846,0.09207843137254901,0.010683760683760684,0.09406960336582185
82,0.3651646205357143,0.37385362146074425,0.15618521313567754,0.030381944444444444,0.14892578125,0.27354965585054075,0.0923921568627451,0.010683760683760684,0.09566609774723578
83,0.3677455357142857,0.3765111997754809,0.15665179626015538,0.02690972222222222,0.14599609375,0.271976401179941,0.08709803921568628,0.010683760683760684,0.09272775579414146
84,0.36642020089285715,0.3752171385212556,0.15562248054662917,0.030381944444444444,0.14794921875,0.2764995083579154,0.08639215686274511,0.010683760683760684,0.09426682666640385
85,0.36655970982142855,0.3754041564639017,0.1557084530536543,0.02690972222222222,0.1494140625,0.27699115044247785,0.09070588235294116,0.010683760683760684,0.09538810362464006
86,0.36697823660714285,0.37574476638081933,0.1573627402868889,0.033854166666666664,0.14794921875,0.2771386430678466,0.08670588235294116,0.010683760683760684,0.09395681592731119
87,0.3671177455357143,0.37569750354770653,0.15539122057852708,0.02690972222222222,0.14794921875,0.2755162241887905,0.08756862745098037,0.010683760683760684,0.09429886082473199
88,0.3672572544642857,0.3772867679332517,0.15551157390940673,0.030381944444444444,0.1474609375,0.27404129793510323,0.08992156862745097,0.010683760683760684,0.09456629574463177
89,0.36655970982142855,0.3760207008859009,0.1556369397716147,0.030381944444444444,0.1474609375,0.27428711897738445,0.08807843137254902,0.010683760683760684,0.0947515174019926
90,0.3671177455357143,0.37707648029483304,0.15516320298208844,0.030381944444444444,0.1484375,0.2759095378564405,0.08854901960784312,0.010683760683760684,0.09509771757626502
