Epoch,Step,Total,CE,feat
1,0,6.517441749572754,6.517441749572754,
1,10,6.319988250732422,6.319988250732422,
1,20,6.211462497711182,6.211462497711182,
2,0,6.076808452606201,6.076808452606201,
2,10,5.930901050567627,5.930901050567627,
2,20,5.879052639007568,5.879052639007568,
3,0,5.91241979598999,5.91241979598999,
3,10,5.696850299835205,5.696850299835205,
3,20,5.720550060272217,5.720550060272217,
4,0,5.657777786254883,5.657777786254883,
4,10,5.475289344787598,5.475289344787598,
4,20,5.429821968078613,5.429821968078613,
5,0,5.405148983001709,5.405148983001709,
5,10,5.3327765464782715,5.3327765464782715,
5,20,5.387422561645508,5.387422561645508,
6,0,5.258903503417969,5.258903503417969,
6,10,5.172824382781982,5.172824382781982,
6,20,5.320359230041504,5.320359230041504,
7,0,5.227011680603027,5.227011680603027,
7,10,5.081765651702881,5.081765651702881,
7,20,5.055112838745117,5.055112838745117,
8,0,5.03519868850708,5.03519868850708,
8,10,4.920693397521973,4.920693397521973,
8,20,4.939058780670166,4.939058780670166,
9,0,4.946694850921631,4.946694850921631,
9,10,4.838340759277344,4.838340759277344,
9,20,4.886420726776123,4.886420726776123,
10,0,4.862311840057373,4.862311840057373,
10,10,4.815499782562256,4.815499782562256,
10,20,4.785696029663086,4.785696029663086,
11,0,4.802287578582764,4.802287578582764,
11,10,4.676097869873047,4.676097869873047,
11,20,4.617749214172363,4.617749214172363,
12,0,4.670860290527344,4.670860290527344,
12,10,4.664187431335449,4.664187431335449,
12,20,4.683721542358398,4.683721542358398,
13,0,4.6369194984436035,4.6369194984436035,
13,10,4.500226020812988,4.500226020812988,
13,20,4.479170322418213,4.479170322418213,
14,0,4.58709192276001,4.58709192276001,
14,10,4.5020222663879395,4.5020222663879395,
14,20,4.462518215179443,4.462518215179443,
15,0,4.518598556518555,4.518598556518555,
15,10,4.398626804351807,4.398626804351807,
15,20,4.313418388366699,4.313418388366699,
16,0,4.435195446014404,4.435195446014404,
16,10,4.265880107879639,4.265880107879639,
16,20,4.33413553237915,4.33413553237915,
17,0,4.341186046600342,4.341186046600342,
17,10,4.207677841186523,4.207677841186523,
17,20,4.1376519203186035,4.1376519203186035,
18,0,4.252575397491455,4.252575397491455,
18,10,4.1707563400268555,4.1707563400268555,
18,20,4.212637424468994,4.212637424468994,
19,0,4.31346321105957,4.31346321105957,
19,10,4.2307047843933105,4.2307047843933105,
19,20,4.0928730964660645,4.0928730964660645,
20,0,4.160666465759277,4.160666465759277,
20,10,4.095187664031982,4.095187664031982,
20,20,4.012733459472656,4.012733459472656,
21,0,4.117457389831543,4.117457389831543,
21,10,3.991440534591675,3.991440534591675,
21,20,3.9538164138793945,3.9538164138793945,
22,0,4.095843315124512,4.095843315124512,
22,10,3.9439644813537598,3.9439644813537598,
22,20,3.8813586235046387,3.8813586235046387,
23,0,3.9425599575042725,3.9425599575042725,
23,10,3.8200035095214844,3.8200035095214844,
23,20,3.702983856201172,3.702983856201172,
24,0,3.8640999794006348,3.8640999794006348,
24,10,3.8462483882904053,3.8462483882904053,
24,20,3.771249294281006,3.771249294281006,
25,0,3.7378499507904053,3.7378499507904053,
25,10,3.894568681716919,3.894568681716919,
25,20,3.9429361820220947,3.9429361820220947,
26,0,3.932101249694824,3.932101249694824,
26,10,3.7094595432281494,3.7094595432281494,
26,20,3.7115392684936523,3.7115392684936523,
27,0,3.7434792518615723,3.7434792518615723,
27,10,3.6277475357055664,3.6277475357055664,
27,20,3.5493557453155518,3.5493557453155518,
28,0,3.609327793121338,3.609327793121338,
28,10,3.6284658908843994,3.6284658908843994,
28,20,3.5707716941833496,3.5707716941833496,
29,0,3.6655523777008057,3.6655523777008057,
29,10,3.6336798667907715,3.6336798667907715,
29,20,3.442378044128418,3.442378044128418,
30,0,3.7141776084899902,3.7141776084899902,
30,10,3.509718418121338,3.509718418121338,
30,20,3.373365640640259,3.373365640640259,
31,0,3.465566396713257,3.465566396713257,
31,10,3.42631459236145,3.42631459236145,
31,20,3.3798530101776123,3.3798530101776123,
32,0,3.5244781970977783,3.5244781970977783,
32,10,3.408376932144165,3.408376932144165,
32,20,3.275890350341797,3.275890350341797,
33,0,3.422766923904419,3.422766923904419,
33,10,3.3178553581237793,3.3178553581237793,
33,20,3.2654459476470947,3.2654459476470947,
34,0,3.4514682292938232,3.4514682292938232,
34,10,3.3339858055114746,3.3339858055114746,
34,20,3.252972364425659,3.252972364425659,
